"COL0","COL1","COL2","COL3","COL4"
"M1B","M1B",24832.00,66108.00,58150.00
"M1C","M1C",37454.00,35626.00,19400.00
"M1E","M1E",26902.00,46943.00,27645.00
"M1G","M1G",21835.00,29690.00,22560.00
"M1H","M1H",24803.00,24383.00,18385.00
"M1J","M1J",23932.00,36699.00,27675.00
"M1K","M1K",24065.00,48434.00,33850.00
"M1L","M1L",24539.00,35081.00,23185.00
"M1M","M1M",29387.00,22913.00,10480.00
"M1N","M1N",35690.00,22136.00,5950.00
"M1P","M1P",24639.00,45571.00,33615.00
"M1R","M1R",26028.00,29858.00,16840.00
"M1S","M1S",21514.00,37769.00,32260.00
"M1T","M1T",22661.00,34588.00,25500.00
"M1V","M1V",19675.00,54680.00,51530.00
"M1W","M1W",22832.00,48471.00,38330.00
"M1X","M1X",25352.00,15097.00,14410.00
"M2H","M2H",25523.00,24497.00,18425.00
"M2J","M2J",25536.00,58293.00,41080.00
"M2K","M2K",32492.00,23852.00,15395.00
"M2L","M2L",41978.00,11717.00,5985.00
"M2M","M2M",23382.00,32320.00,21575.00
"M2N","M2N",28236.00,75897.00,52515.00
"M2P","M2P",49124.00,7843.00,3460.00
"M2R","M2R",23861.00,40792.00,17855.00
"M3A","M3A",29409.00,34615.00,18990.00
"M3B","M3B",47756.00,13324.00,6495.00
"M3C","M3C",26270.00,39153.00,25195.00
"M3H","M3H",31943.00,37011.00,12925.00
"M3J","M3J",22966.00,25473.00,17375.00
"M3K","M3K",28128.00,5997.00,2190.00
"M3L","M3L",24411.00,17339.00,11915.00
"M3M","M3M",26304.00,24046.00,14405.00
"M3N","M3N",21074.00,41958.00,33865.00
"M4A","M4A",27508.00,14443.00,7740.00
"M4B","M4B",29895.00,18628.00,6855.00
"M4C","M4C",29627.00,46866.00,20955.00
"M4E","M4E",49069.00,25044.00,3985.00
"M4G","M4G",57528.00,19076.00,3685.00
"M4H","M4H",19115.00,19688.00,15955.00
"M4J","M4J",33899.00,35738.00,11225.00
"M4K","M4K",37297.00,31583.00,7565.00
"M4L","M4L",40227.00,32640.00,9115.00
"M4M","M4M",35272.00,24689.00,9910.00
"M4N","M4N",61680.00,15330.00,3260.00
"M4P","M4P",40888.00,20039.00,6095.00
"M4R","M4R",52928.00,11394.00,2715.00
"M4S","M4S",48805.00,26506.00,7475.00
"M4T","M4T",60356.00,10463.00,1585.00
"M4V","M4V",54838.00,18241.00,3505.00
"M4W","M4W",59097.00,14561.00,3645.00
"M4X","M4X",23366.00,20822.00,12715.00
"M4Y","M4Y",35879.00,30472.00,12320.00
"M5A","M5A",31192.00,41078.00,18375.00
"M5B","M5B",29967.00,12785.00,6635.00
"M5C","M5C",56277.00,2951.00,1120.00
"M5E","M5E",60358.00,9118.00,4020.00
"M5G","M5G",28422.00,8423.00,5630.00
"M5H","M5H",55117.00,2005.00,845.00
"M5J","M5J",55508.00,14545.00,6595.00
"M5K","M5K",,0.00,
"M5L","M5L",,0.00,
"M5M","M5M",56714.00,25975.00,5325.00
"M5N","M5N",45344.00,16610.00,3355.00
"M5P","M5P",50153.00,19423.00,4065.00
"M5R","M5R",43152.00,26496.00,6205.00
"M5S","M5S",28173.00,15372.00,6450.00
"M5T","M5T",20336.00,17748.00,10455.00
"M5V","M5V",52970.00,49195.00,20745.00
"M5W","M5W",,15.00,
"M5X","M5X",,10.00,
"M6A","M6A",26757.00,21048.00,10575.00
"M6B","M6B",30257.00,28522.00,9475.00
"M6C","M6C",35726.00,24596.00,6850.00
"M6E","M6E",26995.00,38041.00,15350.00
"M6G","M6G",32929.00,32086.00,7605.00
"M6H","M6H",29554.00,44950.00,13905.00
"M6J","M6J",34929.00,32684.00,9055.00
"M6K","M6K",31915.00,40957.00,16740.00
"M6L","M6L",25588.00,20616.00,10285.00
"M6M","M6M",25307.00,42434.00,25450.00
"M6N","M6N",25857.00,41243.00,17970.00
"M6P","M6P",38497.00,40035.00,10060.00
"M6R","M6R",41895.00,19857.00,2790.00
"M6S","M6S",47751.00,34299.00,7150.00
"M7A","M7A",,10.00,
"M7Y","M7Y",,10.00,
"M8V","M8V",35430.00,37975.00,11475.00
"M8W","M8W",35811.00,20674.00,4530.00
"M8X","M8X",59463.00,10787.00,1490.00
"M8Y","M8Y",40923.00,21299.00,4600.00
"M8Z","M8Z",42663.00,17038.00,3985.00
"M9A","M9A",39370.00,35594.00,10180.00
"M9B","M9B",39389.00,32400.00,10215.00
"M9C","M9C",35788.00,38291.00,10455.00
"M9L","M9L",23724.00,11950.00,7750.00
"M9M","M9M",24960.00,22263.00,15835.00
"M9N","M9N",26356.00,25074.00,14095.00
"M9P","M9P",33225.00,20874.00,6350.00
"M9R","M9R",27910.00,33743.00,18375.00
"M9V","M9V",22524.00,55959.00,45600.00
"M9W","M9W",25866.00,40684.00,28040.00
