,Scarborough Health Network - Centenary Hospital,Centre For Addiction and Mental Health - Queen Street Site,Sunnybrook Health Sciences Centre - Bayview Campus,Toronto Western Hospital,St. Joseph's Health Centre,Michael Garron Hospital,Etobicoke General Hospital,Humber River Hospital,Scarborough Health Network - General Campus,Scarborough Health Network - Birchmount Hospital,North York General Hospital,Toronto General Hospital,Hospital for Sick Children,Mount Sinai Hospital,Centre For Addiction and Mental Health - College Street Site,St. Michael's Hospital
M1P,0.06765977370721199,0.1904904854824437,0.11196941420845692,0.17365495027635508,0.21740600966243348,0.09071343880162687,0.32964094680060085,0.22200657279302005,0.02290555554515999,0.05571757121045851,0.09298032339893415,0.1570664215613831,0.1575372095815679,0.15948711180219383,0.16537713816781086,0.15295311539914455
M1R,0.09736060469246424,0.16151127037923277,0.08210465804816801,0.1446952511011888,0.18785289620960566,0.06566032076159269,0.30150375803189555,0.19319631522537792,0.04988419612068679,0.05352624709764788,0.06843175361499891,0.12854066891763555,0.12910384061651436,0.1309228171389717,0.13640659512757525,0.12522986991419968
M6C,0.2432345978848433,0.05022849323102873,0.06451071714284583,0.04602709287016886,0.054619911622071866,0.10639370890492238,0.17087754481762893,0.06553197855421414,0.19467077711706957,0.1642069760524099,0.1034952709710107,0.05430282488338425,0.05560746218349655,0.05335409331918481,0.045698505522669935,0.06560873595011477
M6E,0.2623653040945334,0.05573830037871518,0.08316270171416704,0.057216759629149364,0.04832884891954804,0.12572878094741177,0.1528354673170932,0.0514856932427144,0.21392847099830187,0.1808839351739935,0.11920214240775477,0.06931838260870045,0.07044801396497095,0.06791096245642476,0.05929758179921598,0.08081532783995783
M6G,0.24303179966056423,0.025536270026505277,0.07099773293742992,0.02126534813927114,0.04075116947584889,0.09805301065066391,0.18751563336701196,0.08743339270949071,0.1939604874491323,0.17346874233884918,0.11609909164736379,0.03390074009825705,0.03487833482886355,0.03222057172191709,0.02332120154915365,0.04529128366291934
M4K,0.17859727755804544,0.07559032381704323,0.04684495078296936,0.05898552301038774,0.10496684469844468,0.02975449925125904,0.24936127962200852,0.14174790448424282,0.12974544088524292,0.12827166757746947,0.0885333700951554,0.041413528609881865,0.041690454504972115,0.04388497289330218,0.05097166242027835,0.036762063107320775
M4L,0.15676066191914106,0.10563801122400272,0.07826477316837664,0.09046233875002145,0.13679794387697386,0.021278560354955255,0.28748251518192786,0.1799947067755096,0.11027208967707645,0.1314008864173385,0.10897187686388184,0.0725006744136836,0.07215885494056479,0.07483851278855952,0.08345410342519345,0.06344657270901466
M4M,0.18474297461939063,0.08183937800753974,0.08055852615688643,0.06828024080618379,0.11337283290191874,0.04042586565138423,0.2721201216789659,0.16761282654908835,0.13800238272005233,0.15269378466616015,0.12039014932649163,0.051426986169223914,0.05067006454630057,0.05342674682481483,0.06250907146431067,0.04063191577981356
M6M,0.2934954024105172,0.08387760125553716,0.11421031606817711,0.08946254877442779,0.06414746462269398,0.1604272072988767,0.11809746902938484,0.02971077350320777,0.24564257464703795,0.2062802459938253,0.14382461198555066,0.10335312844305249,0.10437843512391685,0.10174010403956828,0.09283202097154641,0.11479507871979086
M6N,0.29846660435231503,0.07253731317481035,0.11928627048511924,0.08123807631819464,0.04819643604816309,0.159749760841648,0.1264770204853913,0.04906600691007791,0.24996847536375544,0.2158798514142608,0.15372063631457183,0.09710352599028475,0.09791523382895317,0.09517336866419325,0.08607784343744787,0.10818093198115886
