,Scarborough Health Network - Centenary Hospital,Centre For Addiction and Mental Health - Queen Street Site,Sunnybrook Health Sciences Centre - Bayview Campus,Toronto Western Hospital,St. Joseph's Health Centre,Michael Garron Hospital,Etobicoke General Hospital,Humber River Hospital,Scarborough Health Network - General Campus,Scarborough Health Network - Birchmount Hospital,North York General Hospital,Toronto General Hospital,Hospital for Sick Children,Mount Sinai Hospital,Centre For Addiction and Mental Health - College Street Site,St. Michael's Hospital
M1P,6519.501,22340.035000000014,13016.657999999998,20191.761,24625.96800000001,11467.017999999998,29634.368000000006,19372.158000000007,2710.6040000000003,6467.129999999999,9460.805999999997,18825.900999999998,18661.075999999997,18883.088,19544.365,18562.234
M1R,10036.269000000002,19080.11900000001,9541.756999999998,16846.720999999998,21280.928000000007,8121.978000000002,27950.393000000007,17688.183000000008,4471.884,6530.518,7863.871,15480.861000000003,15316.036000000002,15538.048000000003,16199.325,15465.66
M6C,25383.260000000002,5933.429999999999,8644.743999999999,5209.563999999999,7878.156999999999,11224.757000000001,17191.445,8881.551999999998,19603.866,21162.173000000003,14162.112,6281.8870000000015,6660.099000000001,6341.658000000001,5341.168000000002,7620.734999999997
M6E,26112.197,6316.298,9373.680999999997,6770.724,6642.202999999998,12785.917000000003,15812.714000000002,7564.7580000000025,20332.803,21745.088999999996,14745.028,7843.047,8221.259,7902.817999999999,6902.328000000001,9181.894999999997
M6G,25698.984000000008,3242.7860000000005,9721.881999999998,2511.0,5291.1770000000015,9152.213,18979.700000000004,11177.692999999996,20132.48400000001,22469.78100000001,15674.746000000001,3739.7119999999995,4117.924,3799.4829999999997,2743.135,5352.3330000000005
M4K,19776.783999999992,8845.683,6689.272000000002,6612.284999999998,11046.491999999998,2742.4499999999994,25192.251999999997,16229.567999999994,14210.283999999998,17144.829999999998,12117.999000000003,5246.424999999998,5081.599999999999,5303.611999999999,5964.888999999997,5231.223999999999
M4L,18192.369999999995,9486.994999999997,10374.305999999997,8098.782,12053.640999999996,2913.429,28549.72900000001,20354.62399999999,12625.87,16943.873999999996,14013.788000000004,6649.996,6334.073,6590.303,7751.529,5709.194
M4M,21264.68899999999,7462.174000000002,10463.282,6839.179000000001,10028.820000000002,5854.559999999999,27290.126,19374.626999999997,15698.189,20109.769000000004,15452.193,5452.604000000001,5074.470000000001,5392.911000000001,6571.441000000002,3850.097
M6M,27984.218999999994,8958.491999999998,10614.657000000001,9787.889999999994,7180.646999999999,14870.664000000004,11796.669000000007,5121.901999999999,22204.824999999993,22571.931,15571.870000000004,10906.156999999988,11284.36899999999,10965.927999999989,9965.437999999995,12206.293999999996
M6N,29957.057999999994,8415.757000000001,13137.058,9245.154999999999,6632.629,15945.922000000004,13726.840000000004,7814.037000000003,24177.663999999993,25377.25,18377.189000000002,10528.540999999994,10906.752999999995,10588.311999999994,9687.990999999996,11663.558999999997
M6P,29358.90800000001,4934.791999999999,13336.150999999996,5764.190000000001,2866.1850000000004,12812.137000000004,15751.382000000007,8934.821,23792.408000000014,25884.942999999992,18884.881999999994,7047.576000000002,7425.788000000001,7107.347000000002,6207.026000000002,8182.594
M8W,39398.765000000014,12316.971,24226.84600000001,14364.319000000001,9959.187,22907.394000000004,15535.361999999997,17917.905000000006,33832.265,36467.037999999986,29466.977000000003,15775.111999999992,15873.673999999994,15715.41899999999,15019.263999999997,16156.682999999994
M8X,32752.586000000014,8242.673000000003,16539.337000000003,9157.867999999997,5884.889000000001,16205.815000000008,13249.088999999994,10230.395999999999,27186.086000000018,28779.529,21779.468,10441.253999999992,10819.465999999993,10501.024999999992,9600.703999999994,11576.271999999995
M8Y,33964.76699999999,6882.973000000001,19364.612999999998,8930.321000000002,4525.189,17684.210999999996,16239.251999999993,13224.783,28398.267,31773.915999999994,24773.854999999996,10341.113999999998,10439.676,10281.420999999997,9776.197999999997,10722.685
M4A,13320.310999999996,15977.586999999996,7095.855000000003,13744.189000000004,18172.20400000001,5380.402,26567.736999999997,17182.58800000001,7540.916999999999,10075.727999999997,8545.273000000003,12378.329000000003,12213.504000000003,12435.516000000003,13096.793000000001,12363.128
M4B,14490.887999999995,13501.586999999996,8709.030999999997,11268.189000000004,15702.395999999999,2543.4459999999995,27722.334,18689.34899999999,8924.388,12149.239999999994,11216.708000000002,9902.329000000003,9737.504000000003,9959.516000000003,10620.793000000001,9887.128000000002
M4C,16450.180999999993,12256.556999999992,9079.176999999994,10152.568,14586.774999999994,1405.933,28092.479999999992,19059.49499999999,10883.681,14400.800999999996,12718.659,8774.179,8492.473999999998,8714.485999999999,9505.171999999997,8541.627999999999
M9B,36375.27600000001,12385.887999999994,19831.523,13301.082999999995,10028.103999999994,20349.030000000006,11117.143,13236.386999999993,30595.882,32071.714999999997,25071.654,14584.46899999999,14962.680999999991,14644.23999999999,13743.918999999993,15719.486999999992
M9C,38229.29700000002,14279.813999999997,21654.459,15195.008999999993,11922.029999999995,22242.956000000002,11660.992,14841.89899999999,32449.90300000001,33743.340999999986,26743.279999999988,16478.394999999986,16856.60699999999,16538.165999999987,15637.84499999999,17613.412999999986
M1S,6710.666999999999,26261.92100000002,16413.563,24492.20300000001,28828.567000000032,16091.491999999991,30083.296999999988,21708.851000000002,4819.773000000001,4541.438,9866.697,22991.837999999996,22710.132999999994,22932.144999999997,23844.80700000001,22484.120000000006
M1T,9953.438,23216.761000000002,12169.839999999993,20983.363000000005,25417.570000000014,12258.619999999999,26911.616999999987,17465.128000000008,7393.655000000001,2387.127,5622.974,19617.503,19452.678,19674.690000000002,20335.967000000004,19602.301999999996
