name,geometry
Scarborough Health Network - Centenary Hospital,"POLYGON ((-79.2038975 43.7800437, -79.203742 43.7800796, -79.2033041 43.7801808, -79.2032021 43.7799446, -79.2021924 43.7794239, -79.2021247 43.7792644, -79.2020307 43.7790555, -79.2031574 43.7787994, -79.2032091 43.7788316, -79.2033233 43.7788455, -79.2048238 43.7785097, -79.2054691 43.7786596, -79.2054742 43.7786718, -79.2055491 43.7788514, -79.2068595 43.7819936, -79.2050399 43.7824273, -79.2038975 43.7800437))"
Centre For Addiction and Mental Health - Queen Street Site,"POLYGON ((-79.4164404 43.6445611, -79.4189228 43.6440726, -79.4212495 43.6436207, -79.4216199 43.6435426, -79.4216526 43.6435364, -79.4217027 43.643527, -79.4216282 43.643325, -79.4216031 43.6432593, -79.421552 43.6431252, -79.4214774 43.6429297, -79.4211707 43.6421259, -79.4209205 43.6414701, -79.420856 43.6414569, -79.4208317 43.6414529, -79.4208044 43.6414487, -79.4207443 43.6414383, -79.4205912 43.6414682, -79.4202978 43.6415256, -79.4196582 43.6416506, -79.4195338 43.641677, -79.419377 43.6417098, -79.4193258 43.6417207, -79.4184078 43.6419102, -79.4176936 43.6420593, -79.4175811 43.6420833, -79.4174637 43.6421052, -79.4170989 43.6421805, -79.4169494 43.6422115, -79.4168742 43.642224, -79.4160408 43.6423988, -79.4155581 43.6424932, -79.4156042 43.6426109, -79.4157263 43.6429399, -79.4159802 43.6436029, -79.4160415 43.6437628, -79.4160891 43.6438871, -79.4161541 43.6440525, -79.4163211 43.644497, -79.4163441 43.6445491, -79.4163685 43.6445569, -79.4163978 43.644562, -79.4164404 43.6445611))"
Sunnybrook Health Sciences Centre - Bayview Campus,"POLYGON ((-79.3794367 43.7242501, -79.3793559 43.7239083, -79.3793406 43.7238756, -79.3793013 43.7238479, -79.3792538 43.7235823, -79.3792404 43.7235092, -79.3788168 43.7212076, -79.3786855 43.7205501, -79.3786332 43.7202109, -79.378545 43.7202315, -79.3783937 43.7202718, -79.3779859 43.7203533, -79.3779449 43.7202536, -79.3775753 43.7203981, -79.3774784 43.7204457, -79.37739 43.7205012, -79.3773416 43.7205374, -79.3772792 43.7205611, -79.3771034 43.720581, -79.3769244 43.7206117, -79.3765011 43.7206493, -79.3763625 43.720635, -79.3762468 43.7206502, -79.3761908 43.7205003, -79.3757843 43.7205797, -79.3758154 43.7206629, -79.3755862 43.7206991, -79.3755472 43.720742, -79.3755159 43.7207467, -79.3754493 43.7206995, -79.3753677 43.7207216, -79.3753505 43.7207718, -79.375225 43.7207581, -79.3747552 43.7207603, -79.3747114 43.7207364, -79.3746259 43.7206806, -79.3745945 43.720676, -79.374562 43.7206775, -79.3744964 43.7206832, -79.3743559 43.7207108, -79.3740737 43.7208071, -79.3740496 43.7208334, -79.374031 43.7208616, -79.3739797 43.720874, -79.3739303 43.7209011, -79.3736789 43.720888, -79.3734327 43.7208855, -79.3733157 43.7208928, -79.3732535 43.72088, -79.3731938 43.7208832, -79.3730949 43.7209084, -79.3729963 43.7209423, -79.3729308 43.7208509, -79.3728223 43.7208914, -79.3728787 43.7209702, -79.3728893 43.7209838, -79.3728296 43.721026, -79.3727742 43.7210738, -79.3727102 43.7211344, -79.3726537 43.721177, -79.3725941 43.7210943, -79.3723799 43.7207972, -79.3721892 43.7208694, -79.3720626 43.7207326, -79.3716475 43.7207559, -79.3709193 43.7207969, -79.3708002 43.7208235, -79.3702209 43.7209531, -79.3699733 43.7212129, -79.3698008 43.7213894, -79.3696869 43.7215141, -79.3695017 43.7215661, -79.3693296 43.7216249, -79.3692 43.7216692, -79.3689136 43.7217671, -79.3682078 43.7218846, -79.3682375 43.7219632, -79.3684282 43.7224168, -79.3695212 43.7221876, -79.3702792 43.7223996, -79.3704028 43.7224342, -79.3718168 43.7224434, -79.3719515 43.7226846, -79.3720144 43.7228118, -79.3721917 43.7231709, -79.3716677 43.7234713, -79.3714757 43.7235399, -79.371437 43.723553, -79.3700424 43.7240237, -79.3701243 43.7243929, -79.3703626 43.7244168, -79.3704141 43.7243775, -79.3704885 43.7243851, -79.370563 43.7243862, -79.3706434 43.7243823, -79.3707058 43.7243611, -79.3710406 43.7243457, -79.3715402 43.7243199, -79.3716726 43.7243131, -79.3723273 43.7246069, -79.3726636 43.7245802, -79.3728615 43.7246111, -79.3731533 43.7247942, -79.3733449 43.7249104, -79.3741022 43.7253697, -79.3754912 43.7250806, -79.3757042 43.7250363, -79.3758221 43.7250112, -79.3776407 43.7246481, -79.3794367 43.7242501))"
Toronto Western Hospital,"POLYGON ((-79.4049132 43.6525879, -79.4048606 43.6524472, -79.4048626 43.6524203, -79.4048758 43.6523952, -79.4048987 43.652374, -79.4049294 43.6523588, -79.4049649 43.652351, -79.404981 43.6523523, -79.4051657 43.6524317, -79.4053378 43.6525227, -79.4054449 43.6525362, -79.4055492 43.6525246, -79.4059562 43.6524415, -79.4060304 43.6526308, -79.4061321 43.652892, -79.4066531 43.6542277, -79.4064661 43.6543084, -79.406177 43.6543703, -79.4051196 43.6545968, -79.4050773 43.6545951, -79.4050381 43.654579, -79.4050055 43.6545531, -79.4043228 43.6529063, -79.4043325 43.6528822, -79.4043625 43.6528632, -79.4045947 43.6528151, -79.4047732 43.652777, -79.4048258 43.6527525, -79.4048668 43.6527182, -79.4048936 43.6526866, -79.4049159 43.6526395, -79.4049132 43.6525879))"
St. Joseph's Health Centre,"POLYGON ((-79.4511123 43.641498, -79.4507999 43.6415935, -79.4506603 43.6415935, -79.4506022 43.6415983, -79.450546 43.6416094, -79.4497546 43.6417834, -79.4497254 43.6417845, -79.4497001 43.6417798, -79.4496806 43.6417672, -79.4496663 43.6417498, -79.4485439 43.6389822, -79.4485421 43.6389578, -79.4485522 43.6389406, -79.4485703 43.6389328, -79.4485978 43.6389272, -79.451203 43.6394305, -79.4511315 43.6414552, -79.4511219 43.6414788, -79.4511123 43.641498))"
Michael Garron Hospital,"POLYGON ((-79.3263933 43.6905341, -79.324151 43.6909996, -79.3234643 43.6893723, -79.325712 43.6888836, -79.326049 43.6896999, -79.3260847 43.6897864, -79.3263933 43.6905341))"
Etobicoke General Hospital,"POLYGON ((-79.6010181 43.7304135, -79.6005446 43.7294255, -79.5999083 43.729277, -79.5997105 43.7292035, -79.5991991 43.7289477, -79.598321 43.7282939, -79.5977267 43.7273261, -79.5973542 43.7270889, -79.5971211 43.727038, -79.5956306 43.7268087, -79.5960733 43.727863, -79.5958243 43.7279107, -79.5970641 43.7308426, -79.5972371 43.7308091, -79.5974424 43.7312704, -79.6010181 43.7304135))"
Humber River Hospital,"POLYGON ((-79.4855851 43.7257273, -79.4908691 43.7245021, -79.4908033 43.7241621, -79.4908691 43.7229942, -79.4914806 43.7219319, -79.4913089 43.7214357, -79.4916201 43.7213581, -79.4914109 43.7208464, -79.4873178 43.7218311, -79.4879025 43.7229864, -79.4880581 43.7233508, -79.484877 43.7240021, -79.4855851 43.7257273))"
Scarborough Health Network - General Campus,"POLYGON ((-79.2477588 43.7577274, -79.2459522 43.7572326, -79.2457044 43.7566006, -79.2457098 43.755907, -79.2457393 43.7556726, -79.2478153 43.7552231, -79.2481425 43.7560852, -79.2494917 43.7557985, -79.2498243 43.7566761, -79.2503854 43.7563389, -79.2508599 43.7567244, -79.2500428 43.7572718, -79.2498583 43.7571623, -79.2496672 43.7573003, -79.2491927 43.7570052, -79.2486655 43.7572859, -79.2484774 43.7572714, -79.2477588 43.7577274))"
Scarborough Health Network - Birchmount Hospital,"POLYGON ((-79.3088248 43.803171, -79.3082428 43.8018624, -79.3078646 43.8012623, -79.3075132 43.8008993, -79.3085942 43.8004086, -79.3089348 43.8003176, -79.3099085 43.8001685, -79.310064 43.8002053, -79.3109947 43.8008848, -79.3103121 43.8014452, -79.3102384 43.8016543, -79.3102156 43.8018266, -79.3103939 43.8020386, -79.3107721 43.8023183, -79.3108848 43.8025913, -79.3107299 43.8027205, -79.3088248 43.803171))"
